id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7480363,2010-01-02 09:34:00,1535,187,$76.00,Swipe Transaction,43293,Lucasville,OH,45648.0,5499,
7480679,2010-01-02 10:52:00,1879,3840,$9.77,Swipe Transaction,2017,Wadesboro,NC,28170.0,7832,
7481358,2010-01-02 13:34:00,240,2147,$11.77,Swipe Transaction,58526,Morristown,TN,37814.0,5921,
7481528,2010-01-02 14:14:00,1712,3291,$0.73,Swipe Transaction,14528,Dallas,TX,75240.0,5499,
7481645,2010-01-02 14:43:00,33,2404,$123.43,Swipe Transaction,27583,Carson City,NV,89706.0,5411,Insufficient Balance
7481737,2010-01-02 15:03:00,1393,3018,$28.62,Swipe Transaction,67570,Norfolk,NE,68701.0,5311,
7481956,2010-01-02 16:00:00,161,5588,$3.47,Swipe Transaction,52106,Waco,TX,76707.0,5411,
7482001,2010-01-02 16:10:00,1604,2207,$52.02,Swipe Transaction,74931,Batesville,MS,38606.0,7230,
7482007,2010-01-02 16:13:00,1080,2562,$16.61,Swipe Transaction,78940,Eastman,GA,31023.0,5813,
7482234,2010-01-02 17:17:00,820,5040,$20.72,Online Transaction,16798,ONLINE,,,4121,
7482652,2010-01-02 20:21:00,566,5577,$14.60,Swipe Transaction,14005,Mc Bee,SC,29101.0,4121,
7482903,2010-01-02 22:24:00,1837,259,$36.78,Online Transaction,51397,ONLINE,,,5651,
7483098,2010-01-03 02:25:00,474,2493,$89.53,Swipe Transaction,35451,Williston Park,NY,11596.0,5812,
7483363,2010-01-03 06:31:00,402,2536,$0.38,Swipe Transaction,59935,Loganville,GA,30052.0,5499,
7483435,2010-01-03 06:48:00,980,5052,$1.55,Swipe Transaction,22204,Gwynn Oak,MD,21207.0,5541,
7483727,2010-01-03 07:50:00,1910,3242,$30.12,Online Transaction,50404,ONLINE,,,4784,
7483801,2010-01-03 08:05:00,1198,2804,$13.20,Swipe Transaction,60569,Leander,TX,78645.0,5300,
7483823,2010-01-03 08:08:00,1755,4228,$2.56,Swipe Transaction,847,Cordele,GA,31015.0,5411,
7484129,2010-01-03 09:16:00,1283,4570,$97.00,Swipe Transaction,59935,Camas,WA,98607.0,5499,
7484501,2010-01-03 10:37:00,1789,5130,$3.35,Swipe Transaction,15617,Rock Springs,WY,82902.0,5812,
7484548,2010-01-03 10:48:00,1908,5945,$135.08,Swipe Transaction,81833,Knoxville,TN,37931.0,5912,
7485047,2010-01-03 12:38:00,618,3411,$13.14,Online Transaction,39261,ONLINE,,,5815,
7485584,2010-01-03 14:41:00,782,4169,$91.00,Swipe Transaction,22204,Defiance,OH,43512.0,5541,
7485716,2010-01-03 15:15:00,1529,4985,$75.62,Swipe Transaction,37588,Pompano Beach,FL,33076.0,7538,
7486037,2010-01-03 16:24:00,1963,5418,$30.20,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,
7486107,2010-01-03 16:39:00,50,5471,$-70.00,Swipe Transaction,43293,Iron Mountain,MI,49801.0,5499,
7486733,2010-01-03 20:59:00,1340,3272,$98.00,Swipe Transaction,61195,Houston,TX,77064.0,5541,
7486801,2010-01-03 21:31:00,1543,3864,$34.90,Online Transaction,15143,ONLINE,,,4784,
7486823,2010-01-03 21:42:00,757,5458,$28.54,Swipe Transaction,59935,Brooklyn,NY,11235.0,5499,
7487084,2010-01-04 02:06:00,580,2961,$93.55,Online Transaction,54298,ONLINE,,,4900,
7487251,2010-01-04 06:06:00,1382,1110,$19.44,Swipe Transaction,75781,Dallas,TX,75253.0,5411,
7487306,2010-01-04 06:19:00,1531,2573,$23.86,Swipe Transaction,46474,Summerville,GA,30747.0,7538,
7487504,2010-01-04 07:07:00,1920,3415,$58.56,Swipe Transaction,20561,Paynesville,MN,56362.0,5912,
7487718,2010-01-04 07:55:00,1534,4250,$6.40,Swipe Transaction,50783,Blackwood,NJ,8012.0,5411,
7488224,2010-01-04 09:48:00,327,4170,$65.58,Online Transaction,88459,ONLINE,,,5311,
7488423,2010-01-04 10:30:00,712,5506,$3.34,Swipe Transaction,94960,Chula Vista,CA,91910.0,7538,
7488519,2010-01-04 10:52:00,363,5364,$6.81,Swipe Transaction,93391,Vatican City,Vatican City,,5812,
7488743,2010-01-04 11:38:00,1334,1157,$1.13,Swipe Transaction,14528,Tonawanda,NY,14150.0,5499,
7489227,2010-01-04 13:20:00,52,4976,$37.61,Swipe Transaction,91128,Pleasant Valley,NY,12569.0,5411,
7489502,2010-01-04 14:26:00,1529,4985,$0.40,Swipe Transaction,14528,Pompano Beach,FL,33076.0,5499,
7489586,2010-01-04 14:45:00,1910,3288,$26.13,Online Transaction,39021,ONLINE,,,4784,
7489617,2010-01-04 14:52:00,1543,3864,$64.39,Swipe Transaction,34490,Burbank,CA,91504.0,5719,
7489880,2010-01-04 15:56:00,933,2523,$74.58,Online Transaction,88459,ONLINE,,,5311,
7490051,2010-01-04 16:32:00,860,5782,$78.44,Online Transaction,80770,ONLINE,,,7922,
7490174,2010-01-04 17:00:00,1048,2542,$14.58,Swipe Transaction,86765,Katy,TX,77493.0,5813,
7490195,2010-01-04 17:10:00,1586,1122,$77.81,Swipe Transaction,92883,Valley Stream,NY,11580.0,5812,
7490224,2010-01-04 17:22:00,1076,3027,$29.41,Swipe Transaction,25717,Fayetteville,NC,28314.0,5812,
7490660,2010-01-04 20:54:00,1799,4595,$6.69,Swipe Transaction,24504,Seattle,WA,98117.0,4214,
7490698,2010-01-04 21:15:00,891,2141,$22.96,Swipe Transaction,59292,Van Buren,AR,72956.0,5813,
7490741,2010-01-04 21:42:00,1989,2984,$47.85,Online Transaction,18563,ONLINE,,,4121,
7490765,2010-01-04 21:59:00,855,4647,$23.03,Swipe Transaction,61195,Jackson,MS,39213.0,5541,
7491033,2010-01-05 03:33:00,983,1023,$162.04,Online Transaction,56276,ONLINE,,,4899,
7491637,2010-01-05 07:58:00,394,4717,$1.45,Swipe Transaction,91128,Stamford,CT,6922.0,5411,
7491682,2010-01-05 08:10:00,300,3814,$0.09,Swipe Transaction,75781,Newtown,CT,6470.0,5411,
7491767,2010-01-05 08:28:00,1823,5177,$57.29,Swipe Transaction,80589,Gilbert,AZ,85233.0,7922,
7491834,2010-01-05 08:44:00,1700,2581,$1.30,Swipe Transaction,14528,Wooster,OH,44691.0,5499,
7493078,2010-01-05 13:05:00,16,4964,$-53.00,Swipe Transaction,59935,Maywood,IL,60153.0,5499,
7493259,2010-01-05 13:42:00,242,5591,$80.00,Swipe Transaction,27092,Littleton,MA,1460.0,4829,
7493430,2010-01-05 14:23:00,760,5876,$40.00,Swipe Transaction,27092,Upper Sandusky,OH,43351.0,4829,
7494124,2010-01-05 17:00:00,52,4976,$136.29,Swipe Transaction,58666,Pawling,NY,12564.0,5300,
7494275,2010-01-05 18:10:00,1615,1147,$33.13,Swipe Transaction,44578,Dexter,MI,48130.0,5812,
7494525,2010-01-05 20:04:00,564,5887,$59.07,Swipe Transaction,55060,Auburn,ME,4210.0,5812,
7494621,2010-01-05 20:54:00,1528,4315,$100.00,Swipe Transaction,27092,Shreveport,LA,71108.0,4829,
7494640,2010-01-05 21:06:00,1678,4680,$50.00,Online Transaction,84682,ONLINE,,,4900,
7495238,2010-01-06 06:28:00,360,2611,$48.88,Swipe Transaction,90966,Woodbine,NJ,8270.0,5300,
7495593,2010-01-06 07:47:00,1540,3763,$12.40,Swipe Transaction,75781,Fairfield,OH,45014.0,5411,
7495606,2010-01-06 07:51:00,490,5133,$4.41,Swipe Transaction,44578,San Antonio,TX,78230.0,5812,
7495840,2010-01-06 08:44:00,750,4550,$25.18,Swipe Transaction,83480,Charlotte,NC,28212.0,9402,
7495993,2010-01-06 09:17:00,1063,2015,$2.61,Swipe Transaction,43293,Rock Falls,IL,61071.0,5499,
7495997,2010-01-06 09:18:00,648,3888,$0.43,Swipe Transaction,14528,Clovis,NM,88101.0,5499,
7496585,2010-01-06 11:18:00,227,2512,$18.95,Swipe Transaction,3244,Minneapolis,MN,55419.0,5411,
7496782,2010-01-06 11:58:00,747,2549,$8.58,Swipe Transaction,22484,New Matamoras,OH,45767.0,5411,
7496911,2010-01-06 12:23:00,699,3285,$11.97,Swipe Transaction,1236,Riverside,IA,52327.0,5310,
7497121,2010-01-06 13:02:00,921,4646,$4.21,Swipe Transaction,2177,Sodus,NY,14551.0,5411,
7497193,2010-01-06 13:17:00,1696,2408,$141.01,Swipe Transaction,61195,Merritt Island,FL,32952.0,5541,
7497457,2010-01-06 14:25:00,819,3245,$-92.00,Swipe Transaction,43293,Pittsburgh,PA,15226.0,5499,
7497540,2010-01-06 14:43:00,1103,2599,$46.94,Swipe Transaction,79393,Fernwood,ID,83830.0,5211,
7497611,2010-01-06 14:58:00,141,2952,$88.00,Swipe Transaction,61195,Gause,TX,77857.0,5541,
7497754,2010-01-06 15:30:00,180,5453,$15.64,Swipe Transaction,20621,Glendale,AZ,85301.0,5411,
7497829,2010-01-06 15:44:00,704,2945,$19.34,Online Transaction,39261,ONLINE,,,5815,
7497848,2010-01-06 15:47:00,1759,4232,$-62.00,Swipe Transaction,61195,Oceanside,CA,92057.0,5541,
7497945,2010-01-06 16:10:00,1733,5013,$59.04,Swipe Transaction,96631,Williamsburg,KY,40769.0,7230,
7498029,2010-01-06 16:31:00,1098,4626,$-88.00,Swipe Transaction,50867,Hawarden,IA,51023.0,5541,
7498111,2010-01-06 16:51:00,1964,5898,$93.00,Swipe Transaction,43293,Clayton,NC,27520.0,5499,
7498137,2010-01-06 16:57:00,987,5090,$20.60,Online Transaction,39021,ONLINE,,,4784,
7498864,2010-01-06 22:40:00,371,5495,$523.23,Online Transaction,52100,ONLINE,,,7801,
7499026,2010-01-07 02:08:00,212,4145,$2.15,Swipe Transaction,50783,Dallas,TX,75227.0,5411,
7500072,2010-01-07 09:27:00,584,51,$2.64,Swipe Transaction,20519,Elk Grove,CA,95757.0,5942,
7500197,2010-01-07 09:54:00,1209,4573,$29.69,Swipe Transaction,67570,Blauvelt,NY,10913.0,5311,
7500387,2010-01-07 10:34:00,380,5838,$13.50,Swipe Transaction,25728,Des Moines,IA,50313.0,5411,
7500433,2010-01-07 10:47:00,1190,5771,$13.56,Swipe Transaction,75781,Walterboro,SC,29488.0,5411,
7500470,2010-01-07 10:54:00,1512,2582,$10.89,Swipe Transaction,10005,Indianapolis,IN,46236.0,5921,
7500741,2010-01-07 11:58:00,368,5566,$55.16,Online Transaction,50404,ONLINE,,,4784,
7500747,2010-01-07 11:59:00,78,5910,$5.33,Swipe Transaction,75936,Los Angeles,CA,90044.0,5814,Insufficient Balance
7501226,2010-01-07 13:35:00,1648,2624,$10.31,Swipe Transaction,24845,Mendham,NJ,7945.0,5411,
7501521,2010-01-07 14:45:00,1769,43,$17.71,Swipe Transaction,71667,Manahawkin,NJ,8050.0,7538,
7501954,2010-01-07 16:28:00,798,5002,$153.96,Swipe Transaction,19964,Perris,CA,92570.0,5311,
7502419,2010-01-07 19:04:00,882,1079,$8.03,Swipe Transaction,22204,Mount Vernon,OH,43050.0,5541,
7502617,2010-01-07 20:34:00,123,227,$26.20,Swipe Transaction,96561,Griffin,GA,30224.0,5912,
7502636,2010-01-07 20:45:00,1723,4099,$67.08,Swipe Transaction,30286,Maryville,IL,62062.0,4814,
7502913,2010-01-07 23:31:00,1331,5027,$1.12,Swipe Transaction,79808,Dallas,TX,75206.0,5411,
7504394,2010-01-08 11:56:00,368,3822,$60.77,Online Transaction,50404,ONLINE,,,4784,
7504420,2010-01-08 12:02:00,402,2536,$28.64,Online Transaction,73186,ONLINE,,,4814,
7504434,2010-01-08 12:05:00,345,3441,$18.83,Swipe Transaction,11468,Lawrence,MI,49064.0,5970,
7505427,2010-01-08 16:04:00,1080,2562,$14.78,Swipe Transaction,78940,Eastman,GA,31023.0,5813,
7505532,2010-01-08 16:26:00,1940,5451,$1.96,Swipe Transaction,42056,Corona,NY,11368.0,7538,
7505556,2010-01-08 16:32:00,180,2888,$18.25,Swipe Transaction,34488,Arcadia,CA,91007.0,7802,
7506198,2010-01-08 20:37:00,1039,4937,$32.19,Swipe Transaction,44578,Los Angeles,CA,90033.0,5812,
7506548,2010-01-09 00:07:00,1797,1127,$48.58,Swipe Transaction,54343,San Leandro,CA,94577.0,4121,
7506974,2010-01-09 07:00:00,1156,12,$100.00,Swipe Transaction,27092,West New York,NJ,7093.0,4829,
7507039,2010-01-09 07:20:00,789,2125,$2.24,Swipe Transaction,81215,Elmer,NJ,8318.0,5812,
7507249,2010-01-09 08:16:00,442,2117,$52.58,Swipe Transaction,32175,De Soto,MO,63020.0,7538,
7507337,2010-01-09 08:36:00,419,3792,$8.82,Swipe Transaction,35451,Metairie,LA,70003.0,5812,
7507406,2010-01-09 08:55:00,1617,157,$4.40,Swipe Transaction,85299,Columbia,MD,21044.0,5411,
7507576,2010-01-09 09:40:00,205,2861,$5.83,Swipe Transaction,83480,Great Falls,MT,59404.0,9402,
7508050,2010-01-09 11:34:00,652,2502,$35.13,Online Transaction,39021,ONLINE,,,4784,
7508072,2010-01-09 11:39:00,1433,5841,$17.78,Swipe Transaction,61195,Mobile,AL,36695.0,5541,
7508618,2010-01-09 13:49:00,1926,1160,$12.10,Swipe Transaction,98374,Sorrento,FL,32776.0,5411,
7508770,2010-01-09 14:32:00,1026,983,$81.00,Swipe Transaction,22204,Clovis,CA,93619.0,5541,
7508839,2010-01-09 14:44:00,1666,993,$168.83,Swipe Transaction,76637,Philadelphia,PA,19130.0,7011,
7509268,2010-01-09 16:28:00,604,4280,$21.94,Online Transaction,39021,ONLINE,,,4784,
7509426,2010-01-09 17:03:00,519,3380,$85.81,Swipe Transaction,30286,Las Vegas,NV,89149.0,4814,
7509447,2010-01-09 17:12:00,1210,4606,$0.80,Swipe Transaction,14528,Milton,PA,17847.0,5499,
7509498,2010-01-09 17:34:00,20,5535,$1.26,Swipe Transaction,86438,Weatherford,TX,76086.0,5499,
7509735,2010-01-09 19:22:00,1072,201,$119.84,Online Transaction,42967,ONLINE,,,4900,
7509882,2010-01-09 20:39:00,1357,5105,$39.25,Online Transaction,81759,ONLINE,,,7349,
7509952,2010-01-09 21:10:00,1081,3892,$81.85,Swipe Transaction,57153,Aurora,CO,80013.0,5812,
7510517,2010-01-10 06:12:00,205,2861,$-82.00,Swipe Transaction,43293,Great Falls,MT,59404.0,5499,
7511082,2010-01-10 08:18:00,1253,3841,$96.09,Swipe Transaction,60569,North Haven,CT,6473.0,5300,
7511291,2010-01-10 09:00:00,142,1046,$34.83,Swipe Transaction,20519,Guilford,CT,6437.0,5942,
7511339,2010-01-10 09:09:00,1983,2907,$10.50,Swipe Transaction,26810,Laguna Beach,CA,92651.0,5541,
7511789,2010-01-10 10:49:00,17,4962,$39.62,Swipe Transaction,32858,Statesville,NC,28625.0,5311,
7512096,2010-01-10 11:50:00,1340,2954,$2807.05,Online Transaction,47225,ONLINE,,,4411,
7512355,2010-01-10 12:43:00,639,129,$0.95,Swipe Transaction,14528,Sandusky,OH,44870.0,5499,
7512488,2010-01-10 13:10:00,416,180,$50.61,Swipe Transaction,59935,Nashville,TN,37211.0,5499,
7512527,2010-01-10 13:17:00,798,5002,$99.89,Swipe Transaction,32175,Perris,CA,92571.0,7538,
7512667,2010-01-10 13:51:00,137,5442,$9.96,Swipe Transaction,61195,Johnson City,TN,37604.0,5541,
7512902,2010-01-10 14:41:00,1236,4101,$1.27,Swipe Transaction,13932,Colorado Springs,CO,80913.0,5651,
7513172,2010-01-10 15:46:00,1224,5971,$2.61,Swipe Transaction,11468,Rockville,MD,20851.0,5970,
7513692,2010-01-10 18:22:00,1223,1042,$1414.16,Swipe Transaction,56271,Hinsdale,IL,60521.0,6300,
7513705,2010-01-10 18:29:00,1980,5829,$-67.00,Swipe Transaction,61195,Rosharon,TX,77583.0,5541,
7513887,2010-01-10 19:52:00,1407,4695,$14.92,Swipe Transaction,20561,Bessemer,AL,35023.0,5912,
7514046,2010-01-10 21:21:00,1189,2067,$142.99,Swipe Transaction,57291,Albany,NY,12206.0,4900,
7514624,2010-01-11 06:21:00,351,1043,$20.86,Swipe Transaction,52932,Flushing,NY,11355.0,7538,
7515135,2010-01-11 08:16:00,472,3007,$7.00,Swipe Transaction,91453,Round Lake,IL,60073.0,5411,
7515181,2010-01-11 08:25:00,511,1038,$99.00,Swipe Transaction,59935,Tucson,AZ,85711.0,5499,
7515366,2010-01-11 09:07:00,1725,2238,$0.66,Swipe Transaction,25717,Richmond,VA,23230.0,5812,
7515932,2010-01-11 11:16:00,860,5412,$-80.00,Swipe Transaction,59935,Silver Spring,MD,20901.0,5499,
7515967,2010-01-11 11:24:00,146,1143,$17.28,Swipe Transaction,54773,Bristol,IL,60512.0,5311,
7515995,2010-01-11 11:30:00,1513,2965,$226.41,Swipe Transaction,100275,Shelton,CT,6484.0,8011,
7516226,2010-01-11 12:20:00,184,2475,$38.26,Swipe Transaction,40456,Evansville,WI,53536.0,7349,
7516397,2010-01-11 12:55:00,1029,3346,$131.05,Online Transaction,73186,ONLINE,,,4814,
7516497,2010-01-11 13:13:00,1891,5440,$2.80,Swipe Transaction,22204,Port Orange,FL,32127.0,5541,
7516544,2010-01-11 13:24:00,184,4935,$92.99,Swipe Transaction,94656,Edgerton,WI,53534.0,4900,
7516683,2010-01-11 13:54:00,1963,4565,$15.99,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,
7516860,2010-01-11 14:37:00,1097,4690,$23.28,Swipe Transaction,51961,Ludington,MI,49431.0,5813,
7517390,2010-01-11 16:40:00,1677,4969,$88.00,Swipe Transaction,68671,Lubbock,TX,79414.0,5541,
7517420,2010-01-11 16:46:00,1877,5414,$27.01,Swipe Transaction,32175,Rockwall,TX,75032.0,7538,
7517724,2010-01-11 18:39:00,1269,4239,$44.13,Swipe Transaction,20519,Chicago,IL,60625.0,5942,
7518411,2010-01-12 02:54:00,211,3739,$197.06,Swipe Transaction,94367,Lake Havasu City,AZ,86404.0,4900,
7518676,2010-01-12 06:37:00,702,4096,$22.76,Swipe Transaction,60989,Huntington Station,NY,11746.0,5912,
7518976,2010-01-12 07:44:00,1117,1162,$88.26,Swipe Transaction,18131,Garland,TX,75043.0,4111,
7519028,2010-01-12 07:56:00,1511,3357,$58.49,Swipe Transaction,11468,Columbus,WI,53925.0,5970,
7520776,2010-01-12 14:17:00,561,3764,$25.51,Swipe Transaction,6316,Burlington,IA,52601.0,5921,
7521503,2010-01-12 17:11:00,1897,3690,$25.94,Online Transaction,39021,ONLINE,,,4784,
7521983,2010-01-12 20:56:00,1300,2601,$23.50,Swipe Transaction,31893,El Dorado,AR,71730.0,5311,
7522073,2010-01-12 21:42:00,1969,5549,$83.69,Swipe Transaction,72261,Bradenton,FL,34212.0,5655,
7522224,2010-01-12 23:15:00,614,4753,$110.39,Online Transaction,32480,ONLINE,,,4899,
7522489,2010-01-13 05:47:00,110,4103,$86.60,Swipe Transaction,6854,Austin,TX,78728.0,7538,
7522841,2010-01-13 07:27:00,634,3375,$6.17,Swipe Transaction,62211,Independence,OH,44131.0,5411,
7522948,2010-01-13 07:53:00,472,3811,$-74.00,Swipe Transaction,59935,Round Lake,IL,60073.0,5499,
7523114,2010-01-13 08:26:00,1115,4225,$67.84,Swipe Transaction,26909,Mineola,TX,75773.0,5211,
7523123,2010-01-13 08:28:00,114,3398,$1.64,Swipe Transaction,75936,North Hollywood,CA,91606.0,5814,
7523649,2010-01-13 10:26:00,1817,2530,$120.00,Swipe Transaction,27092,Texas City,TX,77590.0,4829,
7524343,2010-01-13 12:49:00,1452,3801,$-78.00,Swipe Transaction,59935,Houston,TX,77056.0,5499,
7525129,2010-01-13 15:41:00,1846,5181,$44.65,Swipe Transaction,74287,West Plains,MO,65775.0,7230,
7525235,2010-01-13 16:08:00,491,2050,$147.46,Online Transaction,17976,ONLINE,,,4900,
7525455,2010-01-13 16:57:00,1334,1157,$73.00,Swipe Transaction,59935,Tonawanda,NY,14150.0,5499,
7525899,2010-01-13 20:13:00,546,4495,$33.96,Swipe Transaction,25887,Coventry,RI,2816.0,5814,
7526084,2010-01-13 21:54:00,467,4278,$57.31,Swipe Transaction,36329,Chattanooga,TN,37415.0,5912,
7526623,2010-01-14 06:39:00,1242,5102,$8.45,Swipe Transaction,28032,Chicago,IL,60620.0,5921,
7526720,2010-01-14 07:03:00,1453,1117,$2.59,Swipe Transaction,30928,Decatur,AL,35601.0,5541,
7526931,2010-01-14 07:51:00,46,2925,$-75.00,Swipe Transaction,50867,Kew Gardens,NY,11415.0,5541,
7527076,2010-01-14 08:22:00,906,1190,$275.01,Swipe Transaction,57133,Waianae,HI,96792.0,3730,
7527137,2010-01-14 08:36:00,820,3311,$4.72,Swipe Transaction,68519,Brewster,MA,2631.0,5812,
7527208,2010-01-14 08:49:00,34,1166,$-77.00,Swipe Transaction,43293,Sacramento,CA,95829.0,5499,
7527211,2010-01-14 08:49:00,804,17,$9.46,Swipe Transaction,56431,Palm Beach,FL,33480.0,5541,
7527748,2010-01-14 10:50:00,674,5574,$4.51,Swipe Transaction,3493,San Diego,CA,92105.0,5812,
7528211,2010-01-14 12:32:00,814,4536,$19.83,Swipe Transaction,70495,Palm Bay,FL,32905.0,7210,
7528540,2010-01-14 13:40:00,135,2808,$46.70,Online Transaction,39021,ONLINE,,,4784,
7528583,2010-01-14 13:51:00,380,5838,$125.14,Swipe Transaction,88731,Des Moines,IA,50313.0,6300,
7529376,2010-01-14 16:57:00,1369,5792,$29.43,Swipe Transaction,1238,Fayetteville,AR,72703.0,7393,
7529766,2010-01-14 19:46:00,1973,2180,$38.68,Swipe Transaction,45926,Tallinn,Estonia,,5814,
7529907,2010-01-14 20:50:00,1516,1002,$60.00,Swipe Transaction,27092,San Jose,CA,95111.0,4829,
7529951,2010-01-14 21:13:00,371,5495,$46.52,Swipe Transaction,67570,Richmond,VA,23235.0,5311,
7530172,2010-01-14 23:14:00,50,5471,$251.00,Swipe Transaction,74934,Oakland,CA,94606.0,3596,
7530576,2010-01-15 07:00:00,464,3233,$35.16,Online Transaction,39021,ONLINE,,,4784,
7530972,2010-01-15 08:57:00,1095,5461,$6.70,Online Transaction,39021,ONLINE,,,4784,
7531141,2010-01-15 09:38:00,494,3273,$833.32,Swipe Transaction,29742,Baltimore,MD,21223.0,3256,
7531294,2010-01-15 10:27:00,1983,2907,$9.17,Swipe Transaction,50783,Laguna Beach,CA,92651.0,5411,
7531507,2010-01-15 11:19:00,1063,2015,$9.52,Swipe Transaction,96049,Rochelle,IL,61068.0,5541,
7531625,2010-01-15 11:44:00,938,231,$60.00,Swipe Transaction,27092,Lawrence,KS,66049.0,4829,
7531905,2010-01-15 12:51:00,1758,2154,$0.09,Swipe Transaction,14528,Meridian,MS,39301.0,5499,
7532167,2010-01-15 13:56:00,1985,4085,$21.30,Swipe Transaction,61195,Alpharetta,GA,30022.0,5541,
7532170,2010-01-15 13:57:00,1437,5818,$11.56,Swipe Transaction,61195,Montreal,Canada,,5541,
7532534,2010-01-15 15:33:00,1758,2154,$41.71,Swipe Transaction,61195,Jackson,MS,39213.0,5541,
7532845,2010-01-15 16:54:00,180,5453,$16.27,Swipe Transaction,69965,Las Vegas,NV,89109.0,7995,
7533673,2010-01-15 22:49:00,1992,5476,$33.17,Swipe Transaction,32361,Parma,MO,63870.0,5411,
7534354,2010-01-16 08:04:00,954,2220,$28.85,Swipe Transaction,99370,Moreno Valley,CA,92553.0,5311,
7534460,2010-01-16 08:26:00,884,145,$56.52,Swipe Transaction,82981,Grand Rapids,MI,49546.0,5912,
7534589,2010-01-16 09:05:00,1026,983,$32.87,Swipe Transaction,60569,Kingsburg,CA,93631.0,5300,
7534700,2010-01-16 09:34:00,1314,2911,$-436.00,Swipe Transaction,52923,Lake Worth,FL,33462.0,3504,
7535256,2010-01-16 11:50:00,793,4234,$0.79,Swipe Transaction,75936,Fort Lauderdale,FL,33309.0,5814,
7535346,2010-01-16 12:10:00,1223,1042,$121.76,Swipe Transaction,43293,Hinsdale,IL,60521.0,5499,
7535371,2010-01-16 12:15:00,1809,2114,$2.46,Swipe Transaction,27907,Broad Run,VA,20137.0,5812,
7535590,2010-01-16 13:08:00,1445,2899,$68.43,Swipe Transaction,80374,Claypool,IN,46510.0,5300,
7535764,2010-01-16 13:55:00,1138,2122,$46.90,Online Transaction,39021,ONLINE,,,4784,
7535899,2010-01-16 14:25:00,1128,4548,$-486.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,
7536081,2010-01-16 15:03:00,989,4124,$238.73,Swipe Transaction,16790,Dallas,TX,75216.0,3389,
7536548,2010-01-16 16:56:00,1060,4291,$7.67,Swipe Transaction,22204,Indianapolis,IN,46221.0,5541,
7536561,2010-01-16 16:59:00,1551,1114,$156.85,Swipe Transaction,30989,Lincoln,IL,62656.0,5411,Bad PIN
