id,client_id,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5188,1536,Mastercard,Debit,03/2021,NO,2,$17707,10/2010,2010,No
2874,1536,Amex,Credit,11/2020,YES,1,$9500,05/2005,2009,No
3041,140,Mastercard,Debit,01/2022,YES,1,$19110,05/2010,2011,No
5312,140,Mastercard,Debit,08/2023,YES,1,$13428,10/2016,2016,No
4150,140,Mastercard,Debit,06/2022,YES,1,$24608,08/2005,2009,No
152,140,Mastercard,Debit,09/2022,YES,1,$13441,01/2008,2011,No
443,1884,Mastercard,Debit (Prepaid),02/2020,YES,2,$74,01/2020,2020,No
3377,1874,Mastercard,Debit,10/2012,YES,1,$17872,06/2008,2008,No
5789,1874,Mastercard,Credit,09/2022,YES,1,$12900,12/2003,2010,No
2106,1874,Mastercard,Debit,05/2024,YES,2,$25264,03/2006,2020,No
2078,1874,Mastercard,Debit,12/2022,YES,2,$20634,03/2005,2007,No
5866,1310,Visa,Credit,04/2007,YES,2,$12200,12/2006,2010,No
173,1310,Visa,Credit,02/2010,YES,2,$5500,01/2008,2008,No
1771,1689,Visa,Credit,03/2020,NO,2,$6600,02/2020,2020,No
6132,1689,Mastercard,Debit,11/2020,YES,1,$25815,12/2017,2017,No
327,379,Amex,Credit,06/2021,YES,2,$8400,01/2014,2014,No
2019,379,Mastercard,Debit,02/2020,YES,1,$21628,03/2001,2008,No
3881,379,Mastercard,Debit,10/2021,YES,1,$24232,07/2009,2009,No
1166,34,Mastercard,Debit,11/2023,YES,2,$10775,02/2009,2010,No
3342,34,Mastercard,Debit (Prepaid),02/2020,YES,2,$105,06/2007,2013,No
5622,822,Visa,Credit,01/2021,NO,2,$7100,11/2010,2010,No
5424,822,Mastercard,Debit,07/2024,YES,1,$29351,11/2005,2007,No
2558,822,Mastercard,Debit,03/2020,YES,2,$15125,04/2008,2012,No
5385,822,Mastercard,Credit,11/2021,YES,2,$8000,11/2003,2008,No
5596,822,Mastercard,Debit (Prepaid),05/2011,YES,1,$83,11/2010,2010,No
3991,1499,Amex,Credit,01/2024,YES,2,$23700,07/2012,2012,No
6126,1780,Visa,Credit,02/2024,YES,2,$700,12/2016,2016,No
3756,1806,Mastercard,Debit,07/2024,YES,2,$7488,07/2006,2016,No
971,811,Visa,Credit,01/2002,NO,1,$24900,02/1999,2010,No
2079,811,Mastercard,Debit,06/2021,YES,2,$30971,03/2005,2020,No
387,811,Amex,Credit,01/2024,YES,1,$24400,01/2020,2020,No
444,811,Mastercard,Debit,02/2020,YES,2,$53549,01/2020,2020,No
5277,811,Visa,Debit,09/2018,YES,1,$53036,10/2013,2013,No
4358,811,Mastercard,Debit,12/2024,YES,1,$35750,08/2011,2011,No
2318,811,Visa,Debit,07/2021,YES,1,$33375,03/2013,2013,No
6019,1844,Visa,Debit (Prepaid),07/2023,YES,2,$22,12/2010,2010,No
4421,1844,Discover,Credit,11/2020,YES,1,$13100,08/2014,2014,No
3702,1844,Visa,Debit,10/2024,YES,1,$16516,07/2003,2011,No
2854,1844,Mastercard,Credit,07/2016,YES,1,$15700,05/2004,2011,No
4114,1844,Mastercard,Debit,05/2024,YES,1,$21058,08/2003,2007,No
28,1852,Visa,Debit,10/2023,YES,2,$36425,01/2002,2004,No
6127,1852,Visa,Debit (Prepaid),03/2021,YES,2,$91,12/2016,2016,No
2477,1852,Mastercard,Credit,09/2021,YES,1,$13400,04/2005,2014,No
2632,1852,Mastercard,Credit,04/2021,YES,2,$21600,04/2010,2010,No
1463,1231,Mastercard,Debit,02/2020,NO,1,$9090,02/2020,2020,No
5679,970,Visa,Debit,02/2023,NO,1,$25942,11/2012,2012,No
1012,970,Mastercard,Credit,07/2019,YES,2,$10700,02/2003,2013,No
1464,970,Mastercard,Credit,07/2022,YES,2,$4900,02/2020,2020,No
1465,381,Mastercard,Credit,04/2022,NO,1,$18100,02/2020,2020,No
388,1134,Amex,Credit,03/2024,YES,2,$7200,01/2020,2020,No
3708,1296,Mastercard,Debit,02/2020,YES,2,$22660,07/2004,2007,No
3087,1296,Discover,Credit,12/2022,YES,1,$19800,05/2011,2011,No
67,1296,Mastercard,Credit,11/2024,YES,2,$15500,01/2005,2014,No
80,1296,Visa,Debit (Prepaid),06/2023,YES,1,$13,01/2005,2008,No
3665,1296,Mastercard,Debit,06/2021,YES,2,$4317,07/2001,2011,No
2014,1880,Mastercard,Debit,12/2021,NO,1,$14719,03/2000,2008,No
4906,1880,Mastercard,Debit,05/2021,YES,1,$9532,09/2017,2017,No
3757,1880,Mastercard,Credit,03/2020,YES,1,$10900,07/2006,2014,No
5365,322,Mastercard,Credit,09/2024,YES,2,$6200,11/2001,2012,No
5425,322,Mastercard,Debit,12/2012,YES,2,$2903,11/2005,2011,No
5758,322,Mastercard,Debit,10/2020,YES,2,$4355,12/1999,2010,No
5482,461,Mastercard,Debit,04/2021,YES,1,$28963,11/2007,2012,No
3172,461,Mastercard,Debit,12/2022,YES,2,$20913,05/2016,2016,No
1209,461,Mastercard,Debit,07/2024,YES,1,$23344,02/2010,2010,No
5313,461,Mastercard,Debit,01/2020,YES,2,$33642,10/2016,2016,No
4762,1165,Mastercard,Debit,01/2022,YES,1,$14695,09/2010,2011,No
126,1448,Mastercard,Credit,09/2023,YES,1,$13200,01/2007,2015,No
4685,1448,Visa,Debit,01/2020,YES,1,$29950,09/2008,2013,No
5907,1448,Visa,Credit,07/2024,YES,2,$4600,12/2007,2011,No
2428,1288,Mastercard,Debit,12/2022,YES,1,$10051,04/2002,2011,No
1013,1288,Mastercard,Debit,12/2015,YES,2,$9796,02/2003,2013,No
5145,1178,Mastercard,Debit,10/2021,YES,1,$17826,10/2009,2009,No
5854,1178,Mastercard,Debit,11/2024,YES,1,$19086,12/2006,2009,No
5296,1178,Visa,Debit,06/2024,YES,2,$17345,10/2014,2014,No
1327,1178,Visa,Debit,09/2020,YES,2,$17976,02/2013,2013,No
383,1178,Visa,Debit,01/2022,YES,2,$16447,01/2019,2019,No
5129,1391,Visa,Debit,10/2024,YES,2,$29573,10/2008,2009,No
5995,1391,Mastercard,Debit (Prepaid),12/2021,YES,2,$98,12/2010,2010,No
4107,1391,Mastercard,Debit,08/2019,YES,2,$2559,08/2002,2012,No
36,1391,Mastercard,Debit,10/2012,YES,2,$6552,01/2003,2010,No
445,838,Mastercard,Credit,01/2021,YES,2,$13800,01/2020,2020,No
1466,54,Mastercard,Debit,08/2020,YES,1,$16375,02/2020,2020,No
749,54,Visa,Debit,05/2023,YES,1,$14213,01/2020,2020,No
1772,54,Visa,Debit (Prepaid),09/2020,YES,1,$73,02/2020,2020,No
3801,1452,Mastercard,Debit,11/2022,YES,2,$53466,07/2007,2013,No
282,1602,Visa,Credit,09/2020,YES,1,$6600,01/2011,2013,No
6105,1602,Mastercard,Credit,06/2022,NO,2,$7200,12/2015,2015,No
446,1938,Mastercard,Debit,11/2020,YES,1,$2868,01/2020,2020,No
422,1938,Discover,Credit,05/2024,YES,1,$3400,01/2020,2020,No
5231,1492,Mastercard,Debit,01/2022,YES,1,$12915,10/2011,2013,No
2615,1492,Visa,Debit (Prepaid),12/2023,YES,2,$84,04/2009,2017,No
2776,1492,Discover,Credit,07/2021,YES,2,$17600,04/2018,2018,No
5452,1492,Mastercard,Debit,12/2012,YES,1,$31542,11/2006,2009,No
3563,1492,Mastercard,Debit,02/2022,YES,2,$23049,06/2013,2013,No
6134,1492,Visa,Debit,05/2020,YES,1,$29734,12/2017,2017,No
4818,1492,Visa,Credit,01/2020,YES,2,$27000,09/2011,2016,No
2171,1492,Mastercard,Debit (Prepaid),11/2022,YES,1,$18,03/2008,2010,No
6106,688,Mastercard,Debit,04/2023,YES,1,$17848,12/2015,2015,No
3042,688,Mastercard,Debit,11/2022,NO,1,$25563,05/2010,2010,No
5209,688,Visa,Credit,04/2020,YES,2,$12000,10/2010,2010,No
1296,688,Amex,Credit,11/2018,NO,2,$6600,02/2012,2012,No
389,749,Amex,Credit,09/2023,NO,1,$5600,01/2020,2020,No
1773,749,Visa,Debit,11/2022,YES,3,$11873,02/2020,2020,No
1467,749,Mastercard,Credit,02/2020,YES,1,$7200,02/2020,2020,No
1395,643,Amex,Credit,08/2024,YES,1,$10000,02/2020,2020,No
5597,643,Mastercard,Credit,04/2023,YES,2,$500,11/2010,2010,No
1468,1219,Mastercard,Debit,02/2020,YES,1,$22697,02/2020,2020,No
2309,1219,Mastercard,Credit,08/2023,YES,1,$18000,03/2013,2013,No
3466,1219,Mastercard,Debit,10/2024,YES,1,$32903,06/2010,2010,No
2804,1198,Visa,Debit,08/2021,YES,2,$12764,05/1999,2010,No
1388,1198,Mastercard,Credit,10/2022,YES,1,$6300,02/2019,2019,No
4660,898,Mastercard,Debit,02/2022,YES,2,$7541,09/2008,2013,No
3356,898,Visa,Debit,03/2022,YES,2,$1266,06/2007,2012,No
4870,898,Mastercard,Credit,04/2020,NO,1,$9500,09/2014,2014,No
3467,882,Mastercard,Debit,04/2020,YES,2,$1837,06/2010,2010,No
1079,882,Mastercard,Debit,08/2023,YES,2,$17453,02/2006,2008,No
2977,348,Visa,Debit,10/2013,NO,1,$28283,05/2008,2012,No
3073,348,Visa,Credit,04/2020,YES,1,$13500,05/2010,2012,No
3554,348,Visa,Credit,07/2014,YES,2,$13300,06/2012,2012,No
2597,633,Mastercard,Debit,09/2021,YES,2,$17941,04/2009,2009,No
3489,1493,Visa,Credit,04/2018,YES,1,$14400,06/2010,2012,No
4003,1493,Visa,Credit,04/2020,YES,1,$4400,07/2012,2012,No
1469,1493,Mastercard,Credit,03/2020,YES,1,$13000,02/2020,2020,No
1774,1493,Visa,Debit,04/2023,YES,2,$22701,02/2020,2020,No
1470,1161,Mastercard,Credit,08/2024,NO,1,$16100,02/2020,2020,No
1471,1161,Mastercard,Debit,09/2023,YES,2,$7629,02/2020,2020,No
2691,217,Mastercard,Debit,03/2022,NO,1,$16538,04/2012,2012,No
174,217,Visa,Debit,12/2020,YES,2,$22746,01/2008,2010,No
1364,217,Mastercard,Debit,07/2016,YES,1,$9737,02/2016,2016,No
1266,217,Mastercard,Credit,07/2019,YES,1,$6500,02/2011,2014,No
1267,217,Mastercard,Debit,06/2020,YES,2,$2650,02/2011,2013,No
207,217,Visa,Credit,05/2012,YES,2,$8200,01/2009,2011,No
5448,217,Amex,Credit,01/2022,YES,2,$6200,11/2006,2013,No
5449,1877,Amex,Credit,01/2021,YES,2,$22600,11/2006,2014,No
2107,1877,Mastercard,Debit,05/2024,YES,2,$6940,03/2006,2009,No
2398,1877,Mastercard,Debit,03/2024,YES,2,$23408,04/1996,2008,No
5414,1877,Visa,Credit,09/2022,YES,2,$9700,11/2004,2007,No
3758,668,Mastercard,Debit,06/2024,NO,2,$10538,07/2006,2006,No
4097,668,Mastercard,Debit,03/2023,YES,2,$6853,08/2001,2006,No
5778,668,Mastercard,Debit,10/2020,YES,2,$607,12/2002,2010,No
4318,668,Mastercard,Credit,08/2021,YES,1,$0,08/2010,2010,No
5015,668,Visa,Debit,06/2021,YES,2,$8253,10/2004,2011,No
750,533,Visa,Debit,09/2020,YES,2,$8492,01/2020,2020,No
242,203,Visa,Credit,07/2022,YES,1,$9100,01/2010,2010,No
3966,203,Mastercard,Credit,04/2022,NO,2,$2600,07/2011,2011,No
5375,203,Mastercard,Credit,05/2024,NO,1,$7300,11/2002,2010,No
5166,1738,Visa,Credit,08/2020,YES,1,$15000,10/2009,2009,No
1472,1738,Mastercard,Credit,04/2024,YES,2,$18700,02/2020,2020,No
751,1738,Visa,Debit,05/2021,YES,1,$21458,01/2020,2020,No
5623,1738,Visa,Credit,04/2020,NO,1,$15700,11/2010,2014,No
6099,713,Mastercard,Debit,01/2020,YES,2,$20765,12/2014,2014,No
1473,713,Mastercard,Debit,06/2022,NO,2,$18101,02/2020,2020,No
1775,713,Visa,Credit,11/2024,YES,1,$8400,02/2020,2020,No
447,713,Mastercard,Debit,03/2020,YES,1,$1737,01/2020,2020,No
1474,1631,Mastercard,Credit,02/2020,YES,2,$20900,02/2020,2020,No
1776,1631,Visa,Credit,11/2021,YES,1,$23700,02/2020,2020,No
448,1631,Mastercard,Credit,11/2021,YES,1,$17500,01/2020,2020,No
5978,1487,Visa,Debit,06/2024,YES,1,$26083,12/2009,2009,No
2978,1487,Visa,Debit,10/2022,YES,1,$31589,05/2008,2008,No
4946,1487,Visa,Credit,06/2021,YES,2,$24200,10/2000,2013,No
1475,1265,Mastercard,Debit,02/2020,YES,2,$18321,02/2020,2020,No
5376,370,Mastercard,Debit,10/2022,YES,2,$7551,11/2002,2010,No
4127,370,Mastercard,Debit,06/2014,YES,1,$15377,08/2004,2011,No
5093,370,Visa,Debit,03/2023,YES,1,$12990,10/2007,2016,No
3490,370,Visa,Debit,02/2023,YES,1,$8509,06/2010,2010,No
5702,1014,Visa,Debit,11/2014,YES,1,$96907,11/2014,2014,No
2200,1014,Visa,Credit,07/2015,YES,1,$43900,03/2008,2013,No
5436,1014,Visa,Debit (Prepaid),10/2020,YES,2,$76,11/2005,2007,No
449,290,Mastercard,Debit,01/2020,YES,2,$50915,01/2020,2020,No
1777,290,Visa,Debit,12/2021,YES,2,$31767,02/2020,2020,No
3862,985,Visa,Credit,04/2024,YES,2,$13200,07/2008,2010,No
1268,985,Mastercard,Credit,10/2022,YES,2,$16000,02/2011,2012,No
752,985,Visa,Debit,07/2024,YES,2,$18132,01/2020,2020,No
2704,985,Visa,Credit,02/2019,YES,1,$300,04/2012,2012,No
2808,135,Mastercard,Debit,11/2022,YES,2,$2236,05/2000,2015,No
4791,135,Visa,Debit,08/2019,YES,2,$21591,09/2010,2010,No
1476,307,Mastercard,Debit,04/2020,YES,2,$11521,02/2020,2020,No
753,307,Visa,Credit,06/2020,NO,1,$8600,01/2020,2020,No
4112,1783,Amex,Credit,03/2020,YES,1,$9800,08/2003,2010,No
1154,1783,Visa,Credit,03/2012,YES,2,$11300,02/2008,2009,No
2598,1783,Mastercard,Credit,10/2019,YES,1,$8400,04/2009,2011,No
10,1783,Mastercard,Debit,12/2023,YES,1,$16597,01/1999,2009,No
4655,1783,Amex,Credit,09/2020,YES,2,$9400,09/2008,2008,No
5908,1321,Visa,Debit,12/2008,YES,1,$18702,12/2007,2007,No
3357,1511,Visa,Debit,06/2022,YES,1,$24806,06/2007,2007,No
5502,1511,Visa,Debit,05/2023,YES,1,$19856,11/2007,2011,No
1238,900,Visa,Debit (Prepaid),02/2021,YES,2,$68,02/2010,2010,No
3412,900,Amex,Credit,12/2022,YES,2,$4900,06/2009,2009,No
1477,953,Mastercard,Debit,02/2022,YES,1,$13390,02/2020,2020,No
1396,953,Amex,Credit,11/2024,YES,3,$8400,02/2020,2020,No
1297,233,Amex,Credit,03/2024,YES,2,$13700,02/2012,2012,No
3605,406,Discover,Credit,11/2024,YES,2,$4200,06/2016,2016,No
5167,1069,Visa,Debit,08/2020,YES,2,$2292,10/2009,2015,No
3922,1069,Amex,Credit,03/2021,YES,1,$8800,07/2010,2010,No
5453,180,Mastercard,Credit,03/2023,NO,2,$7600,11/2006,2009,No
2888,180,Visa,Credit,11/2021,YES,2,$6200,05/2005,2018,No
3208,996,Mastercard,Credit,07/2023,YES,1,$12900,06/1999,2011,No
4661,996,Mastercard,Debit,06/2022,YES,2,$18820,09/2008,2015,No
3277,996,Visa,Debit,07/2005,YES,2,$16167,06/2004,2009,No
1107,996,Mastercard,Credit,06/2023,YES,2,$4200,02/2007,2011,No
3310,996,Mastercard,Debit,08/2024,YES,2,$18861,06/2006,2011,No
1279,996,Visa,Debit,02/2020,NO,1,$27231,02/2011,2011,No
1778,1866,Visa,Debit,12/2024,YES,1,$24390,02/2020,2020,No
1478,1866,Mastercard,Debit,02/2023,YES,1,$3106,02/2020,2020,No
2108,1981,Mastercard,Debit,07/2020,YES,2,$13595,03/2006,2010,No
5143,1981,Discover,Credit,11/2009,NO,2,$12300,10/2009,2009,No
4151,1981,Mastercard,Credit,02/2019,YES,2,$12300,08/2005,2009,No
3606,1981,Mastercard,Debit,04/2021,YES,1,$20743,06/2016,2016,No
3248,1981,Mastercard,Debit,08/2021,YES,2,$17706,06/2003,2010,No
2996,1981,Mastercard,Debit,08/2022,YES,2,$20962,05/2009,2009,No
4,1981,Mastercard,Debit,03/2024,YES,2,$19439,01/1997,2007,No
3257,870,Visa,Debit,03/2022,NO,1,$30160,06/2003,2017,No
3626,870,Amex,Credit,06/2022,YES,2,$0,06/2018,2018,No
1039,870,Visa,Debit,11/2012,NO,1,$28937,02/2004,2008,No
2080,16,Mastercard,Debit (Prepaid),05/2020,NO,2,$22,03/2005,2011,No
49,16,Mastercard,Debit,08/2015,YES,2,$1575,01/2004,2005,No
4964,16,Mastercard,Debit,12/2020,YES,2,$7562,10/2002,2011,No
4093,16,Mastercard,Debit,05/2024,YES,2,$17211,08/1999,2013,No
2979,16,Visa,Credit,06/2010,NO,2,$9500,05/2008,2010,No
3513,46,Mastercard,Debit,11/2022,YES,2,$24191,06/2011,2011,No
3732,46,Mastercard,Debit (Prepaid),03/2023,YES,2,$68,07/2005,2006,No
2925,46,Mastercard,Debit,02/2020,YES,2,$8037,05/2007,2010,No
1167,46,Mastercard,Debit (Prepaid),02/2018,YES,2,$97,02/2009,2015,No
450,800,Mastercard,Debit,05/2021,YES,1,$15555,01/2020,2020,No
2759,800,Mastercard,Debit,05/2016,YES,1,$18242,04/2016,2016,No
1779,800,Visa,Debit (Prepaid),12/2021,YES,2,$62,02/2020,2020,No
754,800,Visa,Debit,12/2022,NO,1,$16715,01/2020,2020,No
1479,1968,Mastercard,Debit (Prepaid),02/2020,YES,1,$46,02/2020,2020,No
1298,697,Mastercard,Debit,04/2021,YES,2,$20195,02/2012,2012,No
3640,697,Mastercard,Debit,07/2019,YES,2,$39818,06/2019,2019,No
3074,697,Visa,Debit,09/2018,YES,2,$33736,05/2010,2010,No
4239,1269,Mastercard,Debit,11/2011,YES,2,$17850,08/2008,2008,No
4147,1269,Amex,Credit,02/2021,YES,2,$11300,08/2005,2008,No
3075,1782,Visa,Debit,09/2015,NO,2,$1981,05/2010,2014,No
4289,1782,Mastercard,Debit,07/2024,YES,1,$15695,08/2009,2010,No
2172,1782,Mastercard,Debit,06/2014,YES,2,$23475,03/2008,2011,No
5366,1977,Mastercard,Credit,06/2017,YES,1,$12900,11/2001,2011,No
2673,1977,Mastercard,Debit (Prepaid),02/2021,YES,1,$91,04/2011,2011,No
965,1977,Mastercard,Debit,10/2022,YES,2,$15341,02/1999,2014,No
4763,1734,Mastercard,Debit,06/2015,YES,2,$42116,09/2010,2011,No
451,1734,Mastercard,Debit,01/2020,NO,2,$39312,01/2020,2020,No
3300,1913,Visa,Debit,04/2008,NO,2,$21370,06/2005,2010,No
5226,1913,Amex,Credit,12/2022,YES,2,$16700,10/2011,2011,No
5477,1913,Amex,Credit,10/2024,YES,1,$17800,11/2007,2011,No
5877,1913,Mastercard,Credit,11/2020,YES,2,$16200,12/2007,2011,No
3084,1913,Amex,Credit,12/2020,YES,1,$17700,05/2011,2013,No
13,858,Mastercard,Credit,03/2021,YES,1,$14600,01/2000,2012,No
4735,858,Visa,Credit,07/2024,YES,2,$10700,09/2009,2011,No
2633,858,Mastercard,Debit (Prepaid),07/2023,YES,1,$89,04/2010,2010,No
4173,606,Mastercard,Debit,09/2006,YES,3,$11398,08/2006,2013,No
5925,1564,Mastercard,Credit,12/2023,YES,2,$8200,12/2008,2010,No
4240,1564,Mastercard,Credit,06/2021,YES,1,$6100,08/2008,2008,No
3514,1564,Mastercard,Debit,07/2024,YES,1,$15820,06/2011,2011,No
1480,1109,Mastercard,Debit,08/2023,YES,2,$9774,02/2020,2020,No
3136,1301,Visa,Debit,09/2023,YES,1,$22833,05/2013,2013,No
755,1301,Visa,Debit,11/2022,YES,1,$48502,01/2020,2020,No
2787,1301,Visa,Debit,07/2022,YES,2,$34888,04/2019,2019,No
4435,1301,Visa,Debit,08/2019,NO,1,$29503,08/2014,2014,No
378,1301,Mastercard,Debit,08/2021,YES,2,$19570,01/2019,2019,No
3189,1301,Mastercard,Debit,12/2023,YES,1,$22297,05/2017,2017,No
3595,1301,Visa,Debit,09/2023,YES,1,$20031,06/2015,2015,No
1481,1301,Mastercard,Debit,02/2020,YES,2,$30323,02/2020,2020,No
390,1301,Amex,Credit,04/2024,YES,1,$19000,01/2020,2020,No
4065,1399,Mastercard,Debit,02/2020,YES,1,$18162,07/2018,2018,No
756,1399,Visa,Debit (Prepaid),12/2020,YES,1,$54,01/2020,2020,No
1482,1399,Mastercard,Credit,08/2022,YES,1,$8700,02/2020,2020,No
452,1399,Mastercard,Debit,05/2021,YES,1,$14295,01/2020,2020,No
5743,1775,Visa,Debit,11/2024,NO,1,$17620,11/2019,2019,No
344,1775,Mastercard,Debit,02/2020,YES,2,$17201,01/2015,2015,No
423,1775,Discover,Credit,08/2021,YES,1,$8300,01/2020,2020,No
5542,1673,Visa,Debit,08/2023,YES,2,$17853,11/2008,2011,No
2777,1673,Mastercard,Debit,12/2024,YES,1,$10794,04/2018,2018,No
5598,1673,Mastercard,Debit,12/2019,YES,1,$15832,11/2010,2011,No
3759,1957,Mastercard,Debit (Prepaid),10/2006,YES,1,$26,07/2006,2019,No
5483,1957,Mastercard,Credit,05/2013,YES,2,$16300,11/2007,2009,No
453,1033,Mastercard,Debit,10/2024,YES,2,$14836,01/2020,2020,No
